date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:16:54	121711/121711	---MCZ	200	added ('OK')	application/javascript	etag:W/%2295473ee45f484d8aad5d7a8ae32b3b1d%22	https://cdn.awsli.com.br/2545/2545673/arquivos/themeLI.js	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/2545/2545673/arquivos/themeLI.js	(from https://rennaker.lojaintegrada.com.br/)
11:16:56	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2027%20Jan%202023%2014:16:54%20GMT	http://connect.facebook.net/pt_BR/sdk.js	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/connect.facebook.net/pt_BR/sdk.30.delayed	(from https://rennaker.lojaintegrada.com.br/)
11:16:56	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e7b5ce87a19f0cd95ff364de9e171aa%22	https://connect.facebook.net/pt_BR/sdk.js	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/connect.facebook.net/pt_BR/sdk.js	(from https://rennaker.lojaintegrada.com.br/)
11:16:56	452147/452147	---M--	200	added ('OK')	image/png	etag:%225d20aefc078724efce6b8b72841a8de7%22	https://cdn.awsli.com.br/2545/2545673/arquivos/Exibicao.png	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/2545/2545673/arquivos/Exibicao.png	(from https://rennaker.lojaintegrada.com.br/)
11:16:56	127/127	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2027%20Jan%202023%2014:16:57%20GMT	https://rennaker.lojaintegrada.com.br/service-worker.js	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/service-worker.js	(from https://rennaker.lojaintegrada.com.br/)
11:16:57	714/714	---M--	200	added ('OK')	image/gif	etag:%229db7e11be99577dee73d85db978342f6%22	https://cdn.awsli.com.br/production/static/loja/estrutura/v1/img/loading.gif	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/loja/estrutura/v1/img/loading.gif	(from https://cdn.awsli.com.br/production/static/loja/estrutura/v1/css/all.min.css?v=b683f5a)
11:16:57	1315/1315	---M--	200	added ('OK')	image/gif	etag:%229abbc22171cdb6673b13e2de9cbea505%22	https://cdn.awsli.com.br/production/static/loja/estrutura/v1/img/nav-h1.gif	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/loja/estrutura/v1/img/nav-h1.gif	(from https://cdn.awsli.com.br/production/static/loja/estrutura/v1/css/all.min.css?v=b683f5a)
11:16:57	366/366	---M--	200	added ('OK')	image/png	etag:%22a471d5fc697bbb9544fc41602473e7e1%22	https://cdn.awsli.com.br/production/static/loja/estrutura/v1/img/nav-thumbs.png	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/loja/estrutura/v1/img/nav-thumbs.png	(from https://cdn.awsli.com.br/production/static/loja/estrutura/v1/css/all.min.css?v=b683f5a)
11:16:57	589/589	---M--	200	added ('OK')	image/png	etag:%22de2c3ea9f10d2db9d4b5051fb21df3c3%22	https://cdn.awsli.com.br/production/static/loja/estrutura/v1/img/bg_direction_nav.png	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/loja/estrutura/v1/img/bg_direction_nav.png	(from https://cdn.awsli.com.br/production/static/loja/estrutura/v1/css/all.min.css?v=b683f5a)
11:16:58	122/122	---M--	200	added ('OK')	image/png	etag:%22739c558f7fb61037851fb60e6d2ccf93%22	https://cdn.awsli.com.br/production/static/loja/estrutura/v1/img/bullet.png	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/loja/estrutura/v1/img/bullet.png	(from https://cdn.awsli.com.br/production/static/loja/estrutura/v1/css/all.min.css?v=b683f5a)
